amount,transaction_hour,is_weekend,account_balance,merchant_type,transaction_channel,category
250,9,0,45000,1,1,Groceries
1200,18,0,43000,2,1,Shopping
850,20,1,42000,3,2,Entertainment
25000,10,0,70000,4,1,Salary
1800,12,0,50000,5,1,Bills
450,8,0,48000,1,2,Groceries
3200,19,1,46000,2,1,Shopping
900,21,1,44000,3,2,Entertainment
28000,9,0,75000,4,1,Salary
2100,11,0,52000,5,1,Bills
300,10,0,47000,1,1,Groceries
1500,17,0,45500,2,1,Shopping
1100,20,1,43000,3,2,Entertainment
26000,10,0,73000,4,1,Salary
1750,13,0,51000,5,1,Bills
500,9,0,46500,1,2,Groceries
2400,18,0,44500,2,1,Shopping
700,22,1,42500,3,2,Entertainment
30000,9,0,80000,4,1,Salary
2300,14,0,50000,5,1,Bills
275,8,0,46000,1,1,Groceries
1350,16,0,44000,2,1,Shopping
950,19,1,41500,3,2,Entertainment
27000,11,0,76000,4,1,Salary
1900,12,0,49500,5,1,Bills
600,10,0,45500,1,2,Groceries
2800,17,0,43500,2,1,Shopping
1250,21,1,40500,3,2,Entertainment
29000,10,0,79000,4,1,Salary
2200,15,0,48500,5,1,Bills
350,9,0,45000,1,1,Groceries
1700,18,0,42500,2,1,Shopping
800,20,1,39500,3,2,Entertainment
25500,9,0,72000,4,1,Salary
1600,11,0,47500,5,1,Bills
450,8,0,44000,1,2,Groceries
2200,16,0,41500,2,1,Shopping
1000,22,1,38500,3,2,Entertainment
31000,10,0,81000,4,1,Salary
2000,13,0,46500,5,1,Bills
225,10,0,43500,1,1,Groceries
1450,17,0,40500,2,1,Shopping
1150,19,1,37500,3,2,Entertainment
26500,11,0,74000,4,1,Salary
1850,12,0,45500,5,1,Bills
550,9,0,43000,1,2,Groceries
2600,18,0,39500,2,1,Shopping
900,21,1,36500,3,2,Entertainment
29500,9,0,78500,4,1,Salary
2150,14,0,44500,5,1,Bills
